员工编号,姓名,部门,岗位序列,职级,学历,工作城市,入职日期,司龄(年),基本工资,绩效工资,岗位津贴,餐补交通补,应发工资,五险一金个人部分,个税扣除,实发工资,本年度绩效评级,是否在职
EMP0001,刘桂珍,市场部,运营序列,P4,本科,北京,2023-03-04,2.3,23784,3996,1627,1168,30575,3210,2046,25319,S,是
EMP0002,赵淑珍,客户服务部,运营序列,P5,本科,北京,2017-04-01,8.3,25687,6361,1450,1713,35211,3697,2416,29098,A,是
EMP0003,邱飞,运营部,技术序列,P2,本科,广州,2016-04-12,9.2,8708,1681,1099,812,12300,1291,584,10425,A,是
EMP0004,杨成,财务部,产品序列,P4,大专,杭州,2024-04-25,1.2,18321,6650,1699,1235,27905,2930,1832,23143,B,是
EMP0005,李帅,技术研发部,产品序列,P4,本科,杭州,2019-01-31,6.4,19480,6041,2194,918,28633,3006,1890,23737,B,是
EMP0006,姜颖,技术研发部,产品序列,P5,本科,广州,2018-09-30,6.8,29128,5626,3575,707,39036,4098,2722,32216,A,是
EMP0007,杨玉英,技术研发部,运营序列,P6,本科,深圳,2018-07-03,7.0,37475,5725,4419,1087,48706,5114,3496,40096,A,是
EMP0008,韩志强,销售部,运营序列,P1,大专,西安,2017-07-25,7.9,5133,2014,498,1289,8934,938,314,7682,A,是
EMP0009,蔡杨,财务部,运营序列,P4,本科,北京,2024-04-04,1.2,21116,4283,1874,518,27791,2918,1823,23050,B,是
EMP0010,黄琳,运营部,职能序列,P1,硕士,北京,2017-02-23,8.4,7908,2624,692,785,12009,1260,560,10189,A,是
EMP0011,宋阳,技术研发部,销售序列,P3,本科,广州,2023-08-03,1.9,12209,3065,1391,1081,17746,1863,1019,14864,C,是
EMP0012,钟帅,客户服务部,职能序列,P2,本科,广州,2024-04-21,1.2,10171,3312,1011,1471,15965,1676,877,13412,B,是
EMP0013,叶阳,销售部,销售序列,P3,大专,深圳,2022-02-11,3.4,13400,3278,1807,1035,19520,2049,1161,16310,S,是
EMP0014,阚楠,技术研发部,技术序列,P3,本科,成都,2016-12-22,8.5,11207,1973,1540,1477,16197,1700,895,13602,B,否
EMP0015,李海燕,技术研发部,技术序列,P4,本科,杭州,2022-08-15,2.9,15040,3261,1008,905,20214,2122,1217,16875,B,否
EMP0016,柯金凤,技术研发部,技术序列,P3,本科,上海,2020-09-24,4.8,14791,3053,941,1732,20517,2154,1241,17122,B,否
EMP0017,阎春梅,产品部,职能序列,P4,本科,成都,2016-05-10,9.1,14176,3946,1602,904,20628,2165,1250,17213,A,是
EMP0018,赖志强,人力资源部,销售序列,P3,硕士,武汉,2016-05-02,9.2,12490,4340,1000,344,18174,1908,1053,15213,B,是
EMP0019,刘秀英,市场部,技术序列,P1,本科,杭州,2017-01-18,8.5,7107,1628,368,1648,10751,1128,460,9163,B,是
EMP0020,刘建军,产品部,销售序列,P5,大专,北京,2018-06-14,7.1,23915,3673,3320,1110,32018,3361,2161,26496,C,是
EMP0021,李艳,财务部,技术序列,P2,硕士,武汉,2018-08-10,6.9,5777,1765,419,862,8823,926,305,7592,A,是
EMP0022,刘斌,技术研发部,销售序列,P3,本科,成都,2021-08-31,3.8,10703,3550,1529,316,16098,1690,887,13521,B,是
EMP0023,李建国,产品部,产品序列,P4,硕士,广州,2022-10-01,2.8,18939,8311,2305,1459,31014,3256,2081,25677,B,否
EMP0024,张欢,市场部,技术序列,P3,本科,深圳,2016-04-18,9.2,16031,5239,2024,1704,24998,2624,1599,20775,C,是
EMP0025,陈婷婷,市场部,运营序列,P1,硕士,杭州,2022-04-17,3.2,7497,2184,525,400,10606,1113,448,9045,C,是
EMP0026,韩丹,销售部,技术序列,P3,本科,深圳,2018-03-25,7.3,17479,5628,1283,1541,25931,2722,1674,21535,A,是
EMP0027,胡成,技术研发部,技术序列,P7,本科,武汉,2024-01-11,1.5,35913,15384,3667,1317,56281,5909,4102,46270,A,是
EMP0028,何伟,人力资源部,技术序列,P4,硕士,杭州,2023-04-15,2.2,20929,8340,1406,886,31561,3313,2124,26124,B,是
EMP0029,王婷婷,财务部,销售序列,P4,本科,西安,2023-11-12,1.6,11290,2787,909,771,15757,1654,860,13243,A,是
EMP0030,杨鑫,技术研发部,运营序列,P4,本科,西安,2022-02-10,3.4,12515,2768,1028,1543,17854,1874,1028,14952,B,是
EMP0031,赵雷,财务部,技术序列,P2,本科,成都,2020-09-14,4.8,6100,1395,402,1021,8918,936,313,7669,A,是
EMP0032,李成,技术研发部,运营序列,P3,本科,北京,2018-06-21,7.0,15714,4735,1108,748,22305,2342,1384,18579,B,是
EMP0033,米利,技术研发部,职能序列,P5,本科,西安,2021-01-13,4.5,20167,7526,2598,1603,31894,3348,2151,26395,C,是
EMP0034,唐红,客户服务部,技术序列,P2,本科,西安,2022-08-10,2.9,7511,2260,501,689,10961,1150,476,9335,D,是
EMP0035,杨慧,客户服务部,产品序列,P2,本科,上海,2019-02-13,6.4,11676,1988,617,1571,15852,1664,868,13320,B,是
EMP0036,黄文,销售部,技术序列,P2,本科,深圳,2025-01-28,0.4,9962,3656,1125,813,15556,1633,844,13079,B,是
EMP0037,杨坤,产品部,技术序列,P3,本科,深圳,2016-01-27,9.4,14989,5872,2212,1688,24761,2599,1580,20582,C,是
